area_fips,area_title,change,pct_change,abs_avg_annual_pct_change
1000,Alabama -- Statewide,151.3144444,0.21844608,0.007934365
1001,"Autauga County, Alabama",23.20732982,0.035550843,0.001398317
1003,"Baldwin County, Alabama",117.0856806,0.231433814,0.008361935
1005,"Barbour County, Alabama",86.24635251,0.152445067,0.005691569
1007,"Bibb County, Alabama",183.5921844,0.373604527,0.012778489
1009,"Blount County, Alabama",131.6587493,0.272957681,0.009700471
1011,"Bullock County, Alabama",93.65874926,0.194175284,0.007123484
1013,"Butler County, Alabama",53.4460471,0.099239912,0.003791929
1015,"Calhoun County, Alabama",45.78039847,0.072757426,0.002813244
1017,"Chambers County, Alabama",26.9135282,0.044042095,0.001725479
1019,"Cherokee County, Alabama",109.1522455,0.219689522,0.00797549
1021,"Chilton County, Alabama",118.0856806,0.233410434,0.008426628
1023,"Choctaw County, Alabama",12.91658229,0.014626684,0.000580999
1025,"Clarke County, Alabama",76.10021522,0.124164206,0.004692569
1027,"Clay County, Alabama",93.3389325,0.187179105,0.006886805
1029,"Cleburne County, Alabama",266.2188103,0.545775065,0.017573649
1031,"Coffee County, Alabama",95.08568061,0.18794819,0.006912889
1033,"Colbert County, Alabama",-41.61746367,-0.050776692,-0.002082277
1035,"Conecuh County, Alabama",79.13923791,0.150494663,0.005623432
1037,"Coosa County, Alabama",84.75285629,0.153747475,0.005737007
1039,"Covington County, Alabama",90.57917683,0.17404987,0.00643901
1041,"Crenshaw County, Alabama",186.5516347,0.421634815,0.01417178
1043,"Cullman County, Alabama",82.67328387,0.140284297,0.005264916
1045,"Dale County, Alabama",254.0742001,0.378691951,0.012928264
1047,"Dallas County, Alabama",114.1927952,0.20921819,0.007627906
1049,"DeKalb County, Alabama",78.32592494,0.148436182,0.005551399
1051,"Elmore County, Alabama",50.24635251,0.08881313,0.003409328
1053,"Escambia County, Alabama",116.9265358,0.200879344,0.007349036
1055,"Etowah County, Alabama",-15.9257999,-0.023737051,-0.000960471
1057,"Fayette County, Alabama",-45.72610531,-0.07103348,-0.002942964
1059,"Franklin County, Alabama",98.76586386,0.189121808,0.006952661
1061,"Geneva County, Alabama",97.65874926,0.202468168,0.007402313
1063,"Greene County, Alabama",69.64574169,0.136198615,0.005120591
1065,"Hale County, Alabama",186.8584438,0.410550171,0.013854286
1067,"Henry County, Alabama",143.5791768,0.27589053,0.00979342
