fips,county,change,pct_change
1001,"Autauga County, Alabama",23.176,0.035501146
1003,"Baldwin County, Alabama",117.0614,0.231374716
1005,"Barbour County, Alabama",86.2192,0.152389759
1007,"Bibb County, Alabama",183.5686,0.373538606
1009,"Blount County, Alabama",131.6356,0.27289659
1011,"Bullock County, Alabama",93.6356,0.194117974
1013,"Butler County, Alabama",53.4202,0.099187159
1015,"Calhoun County, Alabama",45.7502,0.072705943
1017,"Chambers County, Alabama",26.8842,0.04399199
1019,"Cherokee County, Alabama",109.1284,0.219630987
1021,"Chilton County, Alabama",118.0614,0.233351241
1023,"Choctaw County, Alabama",12.8742,0.014577991
1025,"Clarke County, Alabama",76.0708,0.124110256
1027,"Clay County, Alabama",93.315,0.187122131
1029,"Cleburne County, Alabama",266.1954,0.545700881
1031,"Coffee County, Alabama",95.0614,0.187891179
1033,"Colbert County, Alabama",-41.6568,-0.050822247
1035,"Conecuh County, Alabama",79.114,0.150439449
1037,"Coosa County, Alabama",84.7264,0.153692105
1039,"Covington County, Alabama",90.5542,0.173993526
1041,"Crenshaw County, Alabama",186.5304,0.421566589
1043,"Cullman County, Alabama",82.645,0.140229573
1045,"Dale County, Alabama",254.042,0.378625786
1047,"Dallas County, Alabama",114.1666,0.209160158
1049,"DeKalb County, Alabama",78.3006,0.148381067
1051,"Elmore County, Alabama",50.2192,0.088760877
1053,"Escambia County, Alabama",116.8986,0.200821713
1055,"Etowah County, Alabama",-15.958,-0.023783903
1057,"Fayette County, Alabama",-45.757,-0.071078062
1059,"Franklin County, Alabama",98.7408,0.18906474
1061,"Geneva County, Alabama",97.6356,0.20241046
1063,"Greene County, Alabama",69.6212,0.136144087
1065,"Hale County, Alabama",186.8366,0.410482477
1067,"Henry County, Alabama",143.5542,0.275829299
1069,"Houston County, Alabama",120.6306,0.19507854
1071,"Jackson County, Alabama",-12.2498,-0.019467309
1073,"Jefferson County, Alabama",270.9174,0.340313179
1075,"Lamar County, Alabama",120.4728,0.215697284
1077,"Lauderdale County, Alabama",69.913,0.126405068
1079,"Lawrence County, Alabama",-130.9342,-0.174827375
1081,"Lee County, Alabama",21.2956,0.032085971
1083,"Limestone County, Alabama",-125.7144,-0.134351251
1085,"Lowndes County, Alabama",160.2286,0.238162027
1087,"Macon County, Alabama",223.712,0.385518915
1089,"Madison County, Alabama",195.2618,0.227647317
1091,"Marengo County, Alabama",169.5924,0.297840071
1093,"Marion County, Alabama",30.2192,0.053411498
1095,"Marshall County, Alabama",79.0996,0.142547383
1097,"Mobile County, Alabama",125.774,0.177841312
1099,"Monroe County, Alabama",72.975,0.107312231
1101,"Montgomery County, Alabama",131.042,0.195305816
1103,"Morgan County, Alabama",116.2286,0.172760911
1105,"Perry County, Alabama",83.583,0.180752438
1107,"Pickens County, Alabama",199.8892,0.42072123
1109,"Pike County, Alabama",186.6068,0.345316706
1111,"Randolph County, Alabama",39.4202,0.073192868
1113,"Russell County, Alabama",77.578,0.129637614
1115,"St. Clair County, Alabama",88.4058,0.155755291
1117,"Shelby County, Alabama",271.0802,0.37654222
1119,"Sumter County, Alabama",131.1666,0.240305192
1121,"Talladega County, Alabama",135.9894,0.208889686
1123,"Tallapoosa County, Alabama",17.0852,0.029259748
1125,"Tuscaloosa County, Alabama",91.5874,0.12983522
1127,"Walker County, Alabama",-30.5992,-0.043489532
1129,"Washington County, Alabama",187.2856,0.200152525
1131,"Wilcox County, Alabama",111.8554,0.167161776
1133,"Winston County, Alabama",96.315,0.193137953
2013,"Aleutian East Borough, Alaska",-68.5084,-0.088683049
2016,"Aleutian West Census Area, Alaska",66.5154,0.078208824
2020,"Anchorage Borough, Alaska",52.0414,0.049565192
2050,"Bethel Census Area, Alaska",3.0658,0.004093551
2060,"Bristol Bay Borough, Alaska",192.8122,0.254979253
2070,"Dillingham Census Area, Alaska",57.3338,0.080449725
2090,"Fairbanks North Star Borough, Alaska",4.3526,0.004697148
